STATISTIC Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,4253
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,265
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Controlled drug offences,Number,760
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Importation of drugs,Number,6
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,2
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,305
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,389
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Other drug offences,Number,58
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,241
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,4
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Discharging a firearm,Number,39
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Possession of a firearm,Number,21
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,176
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Fireworks offences,Number,1
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,3955
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Arson,Number,145
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,3807
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Litter offences,Number,3
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Public order and other social code offences,Number,4733
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Disorderly conduct,Number,3625
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Trespass offences,Number,221
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Liquor licensing offences,Number,608
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Prostitution offences,Number,25
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,77
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,177
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,910
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Offences against government and its agents,Number,26
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,Perverting the course of justice,Number,16
Recorded crime incidents,2004Q4,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,867
Recorded crime incidents,2004Q4,20 North Western Region,Homicide offences,Number,7
Recorded crime incidents,2004Q4,20 North Western Region,Murder,Number,1
Recorded crime incidents,2004Q4,20 North Western Region,Manslaughter,Number,1
Recorded crime incidents,2004Q4,20 North Western Region,Infanticide,Number,0
Recorded crime incidents,2004Q4,20 North Western Region,Dangerous driving leading to death,Number,5
Recorded crime incidents,2004Q4,20 North Western Region,Sexual offences,Number,65
